"event","checkboxId","checkboxLabel","action","timestamp","finalChoice","finalTime"
"checkbox","reject-ads","Decline personalised advertising","checked","2026-06-03T11:32:17.065Z","preferences","2026-06-03T11:32:33.466Z"
"checkbox","reject-analytics","Decline analytics tracking","checked","2026-06-03T11:32:17.461Z","preferences","2026-06-03T11:32:33.466Z"
"checkbox","reject-sharing","Decline partner data sharing","checked","2026-06-03T11:32:18.064Z","preferences","2026-06-03T11:32:33.466Z"
"checkbox","reject-sharing","Decline partner data sharing","unchecked","2026-06-03T11:32:26.303Z","preferences","2026-06-03T11:32:33.466Z"
"checkbox","reject-analytics","Decline analytics tracking","unchecked","2026-06-03T11:32:26.582Z","preferences","2026-06-03T11:32:33.466Z"
"checkbox","reject-ads","Decline personalised advertising","unchecked","2026-06-03T11:32:27.542Z","preferences","2026-06-03T11:32:33.466Z"
"checkbox","reject-sharing","Decline partner data sharing","checked","2026-06-03T11:32:32.173Z","preferences","2026-06-03T11:32:33.466Z"
"checkbox","reject-analytics","Decline analytics tracking","checked","2026-06-03T11:32:32.417Z","preferences","2026-06-03T11:32:33.466Z"
"checkbox","reject-ads","Decline personalised advertising","checked","2026-06-03T11:32:32.712Z","preferences","2026-06-03T11:32:33.466Z"
"final","","","","","preferences","2026-06-03T11:32:33.466Z"
"final-state","reject-ads","Decline personalised advertising","declined","","preferences","2026-06-03T11:32:33.466Z"
"final-state","reject-analytics","Decline analytics tracking","declined","","preferences","2026-06-03T11:32:33.466Z"
"final-state","reject-sharing","Decline partner data sharing","declined","","preferences","2026-06-03T11:32:33.466Z"
