session_id,file_name,haptic_experience,event,checkboxId,checkboxLabel,action,timestamp,finalChoice,finalTime
consent_behaviour_2026_06_02T12_02_22_880Z,consent_behaviour_2026_06_02T12_02_22_880Z.csv,True,checkbox,reject-ads,Decline personalised advertising,checked,2026-06-02T12:02:19.598Z,preferences,2026-06-02T12:02:22.875Z
consent_behaviour_2026_06_02T12_02_22_880Z,consent_behaviour_2026_06_02T12_02_22_880Z.csv,True,final,,,,,preferences,2026-06-02T12:02:22.875Z
consent_behaviour_2026_06_02T12_02_22_880Z,consent_behaviour_2026_06_02T12_02_22_880Z.csv,True,final-state,reject-ads,Decline personalised advertising,declined,,preferences,2026-06-02T12:02:22.875Z
consent_behaviour_2026_06_02T12_02_22_880Z,consent_behaviour_2026_06_02T12_02_22_880Z.csv,True,final-state,reject-analytics,Decline analytics tracking,accepted,,preferences,2026-06-02T12:02:22.875Z
consent_behaviour_2026_06_02T12_02_22_880Z,consent_behaviour_2026_06_02T12_02_22_880Z.csv,True,final-state,reject-sharing,Decline partner data sharing,accepted,,preferences,2026-06-02T12:02:22.875Z
consent_behaviour_2026_06_02T12_13_00_415Z,consent_behaviour_2026_06_02T12_13_00_415Z.csv,False,checkbox,reject-ads,Decline personalised advertising,checked,2026-06-02T12:12:57.127Z,preferences,2026-06-02T12:13:00.403Z
consent_behaviour_2026_06_02T12_13_00_415Z,consent_behaviour_2026_06_02T12_13_00_415Z.csv,False,final,,,,,preferences,2026-06-02T12:13:00.403Z
consent_behaviour_2026_06_02T12_13_00_415Z,consent_behaviour_2026_06_02T12_13_00_415Z.csv,False,final-state,reject-ads,Decline personalised advertising,declined,,preferences,2026-06-02T12:13:00.403Z
consent_behaviour_2026_06_02T12_13_00_415Z,consent_behaviour_2026_06_02T12_13_00_415Z.csv,False,final-state,reject-analytics,Decline analytics tracking,accepted,,preferences,2026-06-02T12:13:00.403Z
consent_behaviour_2026_06_02T12_13_00_415Z,consent_behaviour_2026_06_02T12_13_00_415Z.csv,False,final-state,reject-sharing,Decline partner data sharing,accepted,,preferences,2026-06-02T12:13:00.403Z
consent_behaviour_2026_06_02T12_32_58_711Z,consent_behaviour_2026_06_02T12_32_58_711Z.csv,True,checkbox,reject-ads,Decline personalised advertising,checked,2026-06-02T12:32:45.882Z,preferences,2026-06-02T12:32:58.706Z
consent_behaviour_2026_06_02T12_32_58_711Z,consent_behaviour_2026_06_02T12_32_58_711Z.csv,True,checkbox,reject-analytics,Decline analytics tracking,checked,2026-06-02T12:32:46.740Z,preferences,2026-06-02T12:32:58.706Z
consent_behaviour_2026_06_02T12_32_58_711Z,consent_behaviour_2026_06_02T12_32_58_711Z.csv,True,checkbox,reject-sharing,Decline partner data sharing,checked,2026-06-02T12:32:47.413Z,preferences,2026-06-02T12:32:58.706Z
consent_behaviour_2026_06_02T12_32_58_711Z,consent_behaviour_2026_06_02T12_32_58_711Z.csv,True,checkbox,reject-analytics,Decline analytics tracking,unchecked,2026-06-02T12:32:49.534Z,preferences,2026-06-02T12:32:58.706Z
consent_behaviour_2026_06_02T12_32_58_711Z,consent_behaviour_2026_06_02T12_32_58_711Z.csv,True,checkbox,reject-analytics,Decline analytics tracking,checked,2026-06-02T12:32:50.149Z,preferences,2026-06-02T12:32:58.706Z
consent_behaviour_2026_06_02T12_32_58_711Z,consent_behaviour_2026_06_02T12_32_58_711Z.csv,True,checkbox,reject-analytics,Decline analytics tracking,unchecked,2026-06-02T12:32:51.451Z,preferences,2026-06-02T12:32:58.706Z
consent_behaviour_2026_06_02T12_32_58_711Z,consent_behaviour_2026_06_02T12_32_58_711Z.csv,True,checkbox,reject-analytics,Decline analytics tracking,checked,2026-06-02T12:32:51.725Z,preferences,2026-06-02T12:32:58.706Z
consent_behaviour_2026_06_02T12_32_58_711Z,consent_behaviour_2026_06_02T12_32_58_711Z.csv,True,checkbox,reject-analytics,Decline analytics tracking,unchecked,2026-06-02T12:32:52.662Z,preferences,2026-06-02T12:32:58.706Z
